episode,round,global_round,winner_markup,alarm_triggered,winner_raw_profit,total_fines
1,1,1,1.1380378657487091,0,8.020000000000003,0.0
1,2,2,1.0932186828219659,1,4.769999999999996,0.0
1,3,3,1.076984126984127,1,3.8799999999999955,-7.105427357601002e-15
1,4,4,1.0603174603174603,0,3.039999999999999,0.0
1,5,5,1.0293140512018761,0,1.5,0.0
1,6,6,1.009933774834437,0,0.509999999999998,6.328996648256027
1,7,7,1.0212301587301587,0,1.0699999999999932,6.594048662489759
1,8,8,1.0115079365079365,0,0.5799999999999983,6.902088046348062
1,9,9,1.0203804347826086,0,1.0499999999999972,7.3529789638759055
1,10,10,1.0230158730158732,0,1.1600000000000037,7.4797597979706545
1,11,11,1.0099206349206349,0,0.5,7.486487357526951
1,12,12,1.0099206349206349,0,0.5,7.49816840935176
1,13,13,1.0100931677018632,0,0.5199999999999889,7.4985624175227645
1,14,14,1.0134920634920634,1,0.6799999999999997,7.49925
1,15,15,1.0275229357798166,0,1.3800000000000026,7.49925
1,16,16,1.009972078181093,0,0.5000000000000071,7.499250000000007
1,17,17,1.028968253968254,1,1.460000000000008,7.499250000000007
1,18,18,1.0229357798165137,0,1.1499999999999986,7.49925
1,19,19,1.0199525879099172,0,1.0100000000000051,7.49925
1,20,20,1.0251984126984128,0,1.2700000000000031,7.49900787749853
2,1,21,1.1455973693825356,1,7.969999999999999,0.0
2,2,22,1.08638117993016,1,4.700000000000003,0.0
2,3,23,1.0981094527363184,1,4.93,0.0
2,4,24,1.0889180082366154,1,4.75,0.0
2,5,25,1.0788301375169476,1,4.07,6.020162478362387
2,6,26,1.0778109452736317,1,3.9099999999999966,6.319751581047683
2,7,27,1.0583084577114428,1,2.9299999999999997,6.537115974415713
2,8,28,1.0100970873786408,0,0.5200000000000031,0.0
2,9,29,1.020099502487562,0,1.009999999999998,0.0
2,10,30,1.0118446601941748,0,0.6100000000000065,7.105427357601002e-15
2,11,31,1.010071663761379,0,0.519999999999996,0.0
2,12,32,1.026865671641791,0,1.3499999999999943,-7.105427357601002e-15
2,13,33,1.038009950248756,0,1.9099999999999966,0.0
2,14,34,1.020724385047453,0,1.0700000000000003,0.0
2,15,35,1.0348258706467661,0,1.75,0.0
2,16,36,1.0100970873786408,0,0.5200000000000031,0.0
2,17,37,1.019949641681193,0,1.0300000000000011,7.105427357601002e-15
2,18,38,1.019949641681193,1,1.0300000000000011,7.105427357601002e-15
2,19,39,1.054726368159204,1,2.750000000000007,22.500000000000007
2,20,40,1.0240170443540577,1,1.240000000000002,22.500000000000007
3,1,41,1.1522371771553293,1,8.370000000000005,0.0
3,2,42,1.0940038684719535,1,4.859999999999999,0.0
3,3,43,1.0854932301740812,1,4.419999999999995,0.0
3,4,44,1.0100520552863042,1,0.5600000000000023,0.0
3,5,45,1.0199859747545583,1,1.1400000000000077,7.105427357601002e-15
3,6,46,1.0239478781475613,1,1.3600000000000065,7.105427357601002e-15
3,7,47,1.1291084432198386,1,6.560000000000002,7.105427357601002e-15
3,8,48,1.0364990689013034,0,1.9599999999999937,0.0
3,9,49,1.0780169100691777,0,4.060000000000002,6.528051971737618
3,10,50,1.0099818511796732,0,0.5499999999999972,6.406968568142112
3,11,51,1.0454545454545454,0,2.3500000000000014,12.663586906053403
3,12,52,1.0480220429049398,0,2.4399999999999906,13.879465523987616
3,13,53,1.0171226136587286,0,0.8699999999999974,14.687062694315154
3,14,54,1.0099923136049194,0,0.5200000000000031,14.62899737808071
3,15,55,1.0562881322574296,0,2.8599999999999994,14.323347590010819
3,16,56,1.0259415833973866,0,1.3500000000000014,13.93262495925714
3,17,57,1.0100580270793036,0,0.519999999999996,13.57399246221783
3,18,58,1.022098385857033,0,1.1499999999999915,7.00596241005359
3,19,59,1.0305534204458109,0,1.5899999999999963,6.505183357126886
3,20,60,1.0297847809377403,0,1.5500000000000043,0.0
4,1,61,1.143698252069917,1,7.809999999999995,0.0
4,2,62,1.1009487666034155,1,5.319999999999993,-7.105427357601002e-15
4,3,63,1.0886630802948796,1,4.450000000000003,0.0
4,4,64,1.0964257659073056,1,4.909999999999997,0.0
